Strike,Last_Price,Bid,Mid,Ask,Volume,OI,IV,Delta,Gamma,Theta,Vega,OptionType,Expiration,UndPrice
115.00,2.21,2.17,2.21,2.25,63,317,0.4003,-0.09,0.0033,-0.02,0.19,Put,2025-11-21,161.3
120.00,,2.72,2.76,2.80,0,363,0.3896,-0.11,0.0039,-0.02,0.22,Put,2025-11-21,161.3
125.00,3.4,3.40,3.45,3.50,10,923,0.3804,-0.13,0.0046,-0.02,0.26,Put,2025-11-21,161.3
130.00,,4.20,4.28,4.35,0,1888,0.3716,-0.16,0.0054,-0.02,0.29,Put,2025-11-21,161.3
135.00,5.25,5.20,5.28,5.35,283,100,0.36369999999999997,-0.19,0.0062,-0.03,0.33,Put,2025-11-21,161.3
140.00,6.35,6.35,6.45,6.55,139,931,0.3563,-0.23,0.0070,-0.03,0.36,Put,2025-11-21,161.3
145.00,7.7,7.70,7.80,7.90,214,198,0.34869999999999995,-0.27,0.0078,-0.03,0.40,Put,2025-11-21,161.3
150.00,9.35,9.30,9.40,9.50,22,2108,0.34240000000000004,-0.31,0.0085,-0.03,0.43,Put,2025-11-21,161.3
155.00,11.2,11.15,11.28,11.40,56,305,0.33759999999999996,-0.35,0.0091,-0.03,0.45,Put,2025-11-21,161.3
160.00,13.3,13.25,13.38,13.50,48,157,0.33270000000000005,-0.40,0.0096,-0.03,0.47,Put,2025-11-21,161.3
165.00,15.7,15.60,15.73,15.85,45,285,0.3283,-0.45,0.0100,-0.03,0.48,Put,2025-11-21,161.3
170.00,18.55,18.25,18.38,18.50,7,132,0.32520000000000004,-0.50,0.0101,-0.03,0.48,Put,2025-11-21,161.3
175.00,21.95,21.10,21.28,21.45,13,33,0.3225,-0.55,0.0101,-0.03,0.48,Put,2025-11-21,161.3
180.00,,23.85,24.43,25.00,0,27,0.3206,-0.60,0.0100,-0.02,0.47,Put,2025-11-21,161.3
185.00,,27.35,27.98,28.60,0,55,0.32289999999999996,-0.64,0.0096,-0.02,0.45,Put,2025-11-21,161.3
190.00,,30.90,31.75,32.60,0,30,0.32630000000000003,-0.68,0.0091,-0.02,0.44,Put,2025-11-21,161.3
195.00,,34.95,35.50,36.05,0,19,0.3256,-0.71,0.0086,-0.02,0.41,Put,2025-11-21,161.3
200.00,,39.75,40.03,40.30,0,0,0.3408,-0.73,0.0080,-0.02,0.40,Put,2025-11-21,161.3
205.00,,42.70,43.93,45.15,0,12,0.3373,-0.77,0.0075,-0.01,0.37,Put,2025-11-21,161.3
210.00,,47.55,48.75,49.95,0,7,0.3566,-0.78,0.0069,-0.01,0.36,Put,2025-11-21,161.3
215.00,,53.55,54.10,54.65,0,0,0.3897,-0.78,0.0063,-0.01,0.36,Put,2025-11-21,161.3
220.00,,57.20,58.75,60.30,0,0,0.4023,-0.79,0.0059,-0.01,0.35,Put,2025-11-21,161.3
225.00,,63.10,64.18,65.25,0,0,0.4364,-0.78,0.0055,-0.02,0.35,Put,2025-11-21,161.3
230.00,,67.30,68.57,69.85,0,0,0.4401,-0.80,0.0052,-0.01,0.34,Put,2025-11-21,161.3
235.00,,72.25,73.33,74.40,0,0,0.4531,-0.81,0.0050,-0.01,0.33,Put,2025-11-21,161.3
240.00,,77.80,78.70,79.60,0,0,0.4844,-0.80,0.0047,-0.02,0.34,Put,2025-11-21,161.3
245.00,,83.20,83.73,84.25,0,0,0.5046,-0.80,0.0045,-0.02,0.33,Put,2025-11-21,161.3
250.00,,87.20,88.50,89.80,0,0,0.5169,-0.81,0.0043,-0.02,0.33,Put,2025-11-21,161.3
255.00,,92.25,93.78,95.30,0,0,0.5439,-0.81,0.0042,-0.02,0.33,Put,2025-11-21,161.3
260.00,,97.30,98.73,100.15,0,0,0.5606,-0.81,0.0040,-0.02,0.33,Put,2025-11-21,161.3
265.00,,102.55,103.78,105.00,0,0,0.5799,-0.81,0.0039,-0.02,0.33,Put,2025-11-21,161.3
270.00,,107.65,108.60,109.55,0,0,0.5920000000000001,-0.81,0.0037,-0.02,0.32,Put,2025-11-21,161.3
275.00,,112.25,113.45,114.65,0,0,0.6043999999999999,-0.82,0.0036,-0.02,0.32,Put,2025-11-21,161.3
280.00,,117.15,118.58,120.00,0,0,0.625,-0.82,0.0035,-0.02,0.32,Put,2025-11-21,161.3
285.00,,122.65,123.55,124.45,0,0,0.6406999999999999,-0.82,0.0034,-0.02,0.32,Put,2025-11-21,161.3
290.00,,127.35,128.70,130.05,0,0,0.6615000000000001,-0.81,0.0033,-0.02,0.32,Put,2025-11-21,161.3
295.00,,132.55,133.68,134.80,0,0,0.6766,-0.81,0.0033,-0.02,0.32,Put,2025-11-21,161.3
300.00,,137.60,138.65,139.70,0,0,0.6914,-0.82,0.0032,-0.02,0.32,Put,2025-11-21,161.3
305.00,,142.40,143.60,144.80,0,0,0.7051000000000001,-0.82,0.0031,-0.02,0.32,Put,2025-11-21,161.3
310.00,,147.60,148.95,150.30,0,0,0.731,-0.81,0.0031,-0.03,0.33,Put,2025-11-21,161.3
315.00,,152.45,153.90,155.35,0,0,0.7444,-0.81,0.0030,-0.03,0.33,Put,2025-11-21,161.3
320.00,,157.65,158.60,159.55,0,0,0.7495999999999999,-0.82,0.0029,-0.03,0.32,Put,2025-11-21,161.3
325.00,,162.40,163.53,164.65,0,0,0.7617,-0.82,0.0029,-0.03,0.32,Put,2025-11-21,161.3
330.00,,167.70,168.68,169.65,0,0,0.7805,-0.81,0.0028,-0.03,0.32,Put,2025-11-21,161.3
45.00,,116.30,117.55,118.80,0,106,0.6868000000000001,1.00,0.0001,-0.01,0.02,Call,2025-12-19,161.3
50.00,,111.60,112.75,113.90,0,929,0.6707,0.99,0.0002,-0.01,0.02,Call,2025-12-19,161.3
55.00,,106.80,107.93,109.05,0,218,0.6382,0.99,0.0003,-0.01,0.03,Call,2025-12-19,161.3
60.00,102.55,101.95,103.00,104.05,1,117,0.5713,0.99,0.0003,-0.01,0.03,Call,2025-12-19,161.3
65.00,,97.00,98.13,99.25,0,635,0.5279,0.99,0.0003,-0.01,0.03,Call,2025-12-19,161.3
70.00,,92.35,93.53,94.70,0,283,0.5584,0.98,0.0005,-0.01,0.05,Call,2025-12-19,161.3
75.00,,88.00,88.93,89.85,0,107,0.5614,0.98,0.0008,-0.02,0.07,Call,2025-12-19,161.3
80.00,,82.85,83.73,84.60,0,261,0.4692,0.98,0.0007,-0.01,0.05,Call,2025-12-19,161.3
85.00,,77.85,79.10,80.35,0,127,0.4715,0.98,0.0010,-0.02,0.08,Call,2025-12-19,161.3
90.00,,73.55,74.53,75.50,0,553,0.46909999999999996,0.97,0.0013,-0.02,0.10,Call,2025-12-19,161.3
95.00,,68.45,69.70,70.95,0,530,0.4375,0.96,0.0015,-0.02,0.11,Call,2025-12-19,161.3
100.00,64.5,64.55,65.48,66.40,7,730,0.4522,0.94,0.0020,-0.02,0.15,Call,2025-12-19,161.3
105.00,60.72,60.15,61.40,62.65,1,273,0.4622,0.92,0.0024,-0.03,0.19,Call,2025-12-19,161.3
110.00,55.35,55.20,56.00,56.80,5,473,0.397,0.93,0.0027,-0.03,0.18,Call,2025-12-19,161.3
